[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000591s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001888s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000405s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000460s ]
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/images/reg_step_2.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:11:03+08:00 ] /fornu/index/User/images/reg_step_1.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.000817s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001244s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000575s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000664s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.001978s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.002113s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | NOTIC: [2] include(menu.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'menu.php' for inclusion (include_path='.;C:\php\pear;E:\koyo\fornu\ThinkPHP/Extend/Vendor/') 1ca25b6cd4897fb46b9cd9c43d3c5e8e.php 第 21 行.
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run ParseTemplate Behavior [ RunTime:0.009694s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009794s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --START--
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run ContentReplace Behavior [ RunTime:0.000541s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run TokenBuild Behavior [ RunTime:0.000527s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000303s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run ShowRuntime Behavior [ RunTime:0.000505s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002094s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --START--
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000384s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000443s ]
[ 2012-08-08T02:11:23+08:00 ] /fornu/index/User/images/reg_step_2.jpg | ERR: (ThinkException) 非法操作images
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --START--
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Run CheckRoute Behavior [ RunTime:0.002016s ]
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ route_check ] --END-- [ RunTime:0.002239s ]
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --START--
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001626s ]
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001793s ]
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --START--
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Run LocationTemplate Behavior [ RunTime:0.002770s ]
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_template ] --END-- [ RunTime:0.002992s ]
[ 2012-08-08T02:13:03+08:00 ] /fornu/index/User/reg | INFO: Tag[ view_parse ] --START--
