[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000604s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002195s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000515s ]
[ 2012-08-07T22:45:11+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000601s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000957s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001143s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000773s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000940s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011530s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011694s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000639s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000522s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000226s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000388s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005526s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001633s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001700s ]
[ 2012-08-07T22:45:15+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
